ID	Organism	Subtype	Country	SamplingYear	Region	Organism_and_Subtype	Region_and_Year
AY536238|HIV-1|subtype:BF1	HIV-1	BF1	SPAIN	2002	Europe	HIV-1_BF1	Europe_2002
AY560107|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1998	North_America	HIV-1_B	North_America_1998
AY560108|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1998	North_America	HIV-1_B	North_America_1998
AY560109|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1998	North_America	HIV-1_B	North_America_1998
AY560110|HIV-1|subtype:B	HIV-1	B	UNITED STATES	1998	North_America	HIV-1_B	North_America_1998
AY561236|HIV-1|subtype:B	HIV-1	B	COLOMBIA	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY561237|HIV-1|subtype:B	HIV-1	B	COLOMBIA	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY561238|HIV-1|subtype:B	HIV-1	B	COLOMBIA	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY561239|HIV-1|subtype:B	HIV-1	B	COLOMBIA	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY561240|HIV-1|subtype:B	HIV-1	B	COLOMBIA	2001	Central_and_South_America	HIV-1_B	Central_and_South_America_2001
AY563169|HIV-1|subtype:C	HIV-1	C	URUGUAY	2001	Central_and_South_America	HIV-1_C	Central_and_South_America_2001
AY563170|HIV-1|subtype:C	HIV-1	C	ARGENTINA	2001	Central_and_South_America	HIV-1_C	Central_and_South_America_2001
AY585264|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY585265|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY585266|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY585267|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
AY585268|HIV-1|subtype:C	HIV-1	C	SOUTH AFRICA	2000	Africa	HIV-1_C	Africa_2000
